,CATEGORIE,long,lat,Address,Neighborhood
841,Méfait,-73.90033250869081,45.44137831948946,"30, Rue Heritage, Kirkland, Agglomération de Montréal, Montréal (06), Québec, H9J 2R6, Canada",
842,Méfait,-73.5603509266162,45.664238877559356,"10179, Boulevard Gouin Est, Rivière-des-Prairies, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1C 1B1, Canada",
843,Vol dans / sur véhicule à moteur,-73.58047476749023,45.56722930272706,"4438, Rue Saint-Zotique, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1T 3J4, Canada",
844,Méfait,-73.61386935671909,45.59601280751718,"5555, Boulevard des Grandes-Prairies, Port-Maurice, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 2B7, Canada",
845,Introduction,-73.59720838532564,45.43478117516928,"7540, Rue Centrale, Sault-Saint-Louis, LaSalle, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8P 3K2, Canada",
846,Introduction,-73.57336508688249,45.54418955704875,"5205, 1e Avenue, Vieux-Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Y 1W1, Canada",
847,Méfait,-73.5613014455811,45.512759001286796,"UQÀM - Campus principal, Rue Savignac, Quartier Chinois, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 1M5, Canada",
848,Méfait,-73.62372784200902,45.53951167159458,"240, Rue Villeray, Parc-Jarry, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 1G7, Canada",
849,Vol dans / sur véhicule à moteur,-73.56624395441895,45.467314361777284,"3711, Boulevard LaSalle, Verdun-Centre, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3G 4M6, Canada",
850,Introduction,-73.61404077442089,45.576617811141844,"8755, Boulevard Pie-IX, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Z 3Z8, Canada",
851,Introduction,-73.6210514750602,45.61902298566425,"6334, Rue Pierre, Montréal-Nord-Est, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 3W1, Canada",
852,Introduction,-73.63119621859079,45.497134134679726,"Sir Mortimer B. Davis Jewish General Hospital, 3755, Chemin de la Côte-Sainte-Catherine, Savane, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3T 1E2, Canada",
853,Vol de véhicule à moteur,-73.58643017386919,45.639846014947594,"12161, Avenue Alfred Nobel, Marc-Aurèle-Fortin, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1E 4M7, Canada",
854,Vol dans / sur véhicule à moteur,-73.82895070982431,45.47750571367412,"4478, Rue Medley, Dollard-Des-Ormeaux, Agglomération de Montréal, Montréal (06), Québec, H9G 1X2, Canada",
855,Vol de véhicule à moteur,-73.65073395276255,45.57168473812563,"2134, Rue Fleury Est, Sault-aux-Récollets, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2B 1K3, Canada",
856,Vol dans / sur véhicule à moteur,-73.62029000673385,45.57053353211597,"3290, Rue Denis-Papin, Saint-Michel, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Z 2Y5, Canada",
857,Méfait,-73.57427629301104,45.49863439066124,"1220, Rue Sainte-Catherine Ouest, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3B 1K1, Canada",
858,Vol de véhicule à moteur,-73.5720347663212,45.46123110678216,"621, Rue Gordon, Verdun-Centre, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 2R9, Canada",
859,Méfait,-73.59126343932495,45.48126784010414,"114, Hillside Avenue, Westmount, Agglomération de Montréal, Montréal (06), Québec, H4C 2S3, Canada",
860,Introduction,-73.57487099128943,45.55421889603723,"3521, Rue Dandurand, Vieux-Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1X 1N6, Canada",
861,Vol dans / sur véhicule à moteur,-73.57704450891464,45.514216407565954,"3830, Rue Saint-Urbain, Saint-Louis, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2W 1T7, Canada",
862,Introduction,-73.62198071264069,45.617721750308114,"12265, Boulevard Rolland, Montréal-Nord-Est, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 3W1, Canada",
863,Méfait,-73.62828656341794,45.53797395903944,"7920, Boulevard Saint-Laurent, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 1Z4, Canada",
864,Vols qualifiés,-73.58367840555283,45.47811554622721,"3964, Rue Notre-Dame Ouest, Saint-Henri, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4C 1P5, Canada",
